symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,mae_pct,exit_reason
000001,平安银行,0,2024-03-08,2024-03-11,2024-03-12,2,10.38,10.50456,1.038129,-0.385356,止盈
000001,平安银行,0,2024-03-18,2024-03-19,2024-03-19,1,10.53,10.40364,-1.358033,-1.2,止损
000001,平安银行,0,2024-03-21,2024-03-22,2024-03-22,1,10.45,10.3246,-1.358033,-1.2,止损
000001,平安银行,0,2024-03-29,2024-04-01,2024-04-01,1,10.52,10.64624,1.038129,-0.095057,止盈
000001,平安银行,0,2024-04-02,2024-04-03,2024-04-03,1,10.53,10.46,-0.823656,-1.044634,破均线
000007,全新好,0,2024-04-08,2024-04-09,2024-04-09,1,4.46,4.51352,1.038129,-0.44843,止盈
000001,平安银行,0,2024-04-24,2024-04-25,2024-04-26,2,10.5,10.5,-0.159952,-0.190476,止损
000006,深振业Ａ,0,2024-05-27,2024-05-28,2024-05-28,1,4.0,3.952,-1.358033,-1.2,止损
000007,全新好,0,2024-06-07,2024-06-11,2024-06-11,1,4.78,4.83736,1.038129,-1.046025,止盈
000007,全新好,0,2024-06-14,2024-06-17,2024-06-17,1,4.84,4.78192,-1.358033,-1.2,止损
000007,全新好,0,2024-07-18,2024-07-19,2024-07-19,1,5.31,5.24628,-1.358033,-1.2,止损
000007,全新好,0,2024-07-23,2024-07-24,2024-07-24,1,5.21,5.14748,-1.358033,-1.2,止损
000008,神州高铁,0,2024-08-08,2024-08-09,2024-08-09,1,2.09,2.11508,1.038129,-0.478469,止盈
000006,深振业Ａ,0,2024-08-13,2024-08-14,2024-08-15,2,3.77,3.75,-0.689607,-1.061008,止损开盘
000001,平安银行,0,2024-10-25,2024-10-28,2024-10-28,1,11.68,11.53984,-1.358033,-1.2,止损
000002,万 科Ａ,0,2024-10-28,2024-10-29,2024-10-29,1,9.31,9.19828,-1.358033,-1.2,止损
000001,平安银行,0,2024-11-21,2024-11-22,2024-11-22,1,11.59,11.45092,-1.358033,-1.2,止损
000001,平安银行,0,2024-12-16,2024-12-17,2024-12-18,2,11.57,11.70884,1.038129,-0.432152,止盈
000006,深振业Ａ,0,2024-12-19,2024-12-20,2024-12-20,1,8.95,8.8426,-1.358033,-1.2,止损
000007,全新好,0,2024-12-30,2024-12-31,2024-12-31,1,7.22,7.13336,-1.358033,-1.2,止损
